sentence id,text,sentiment,topic
10587,"This is probably the best buy on Amazon for a reader of classic science fiction.  H. Beam Piper foresees a human race with advanced technology and beginning to colonize planets throughout the galaxy. This collection of stories covers mankind's rise and fall of civilization and the exploration that takes place.  They cover the rise and fall of the Federation and the Interstellar Wars.H. Beam Piper was a visionary and an excellent author.  I enjoyed every page in this book.  I should really say that this is 12 books into one.  Not only are they well written and entertaining, they are illustrated.  While I enjoyed all of the stories my favorites were Space Viking, Four-Day Planet, Uller Uprising, The Cosmic Computer and the best to me was Little Fuzzy.I own many of these books in the original paperback format but I purchased the Kindle version to reread them and I am glad that I did. These stories are outstanding and truly classic Sci-Fi.  You will enjoy every page and for only $0.99 it is the best bargain book out there.  You cannot pass up this book if you love Sci-Fi!",positive,book
6254,I'm irritated that so many people gave this book bad reviews just because they didn't get it. Broaden your minds people!!!!!!!,positive,book
2397,"This is actually a compilation of CI's How-To series. This was originally a couple of dozen small cookbooks including things like 'How to Make Cookie Jar Favorites' and 'How to Make Stew.' Basically each chapter in this book was an individual cookbook before. I've known, used, and loved CI for years. All of their recipes seem to be flawless to me. They do tons of test cooking and recipe development before allowing anything make it into print. I go to this one and the actual print copies which I also own, all the time for recipes. I've made the Molasses Spice cookies so many times I can't even remember how many of them I've pulled out of ovens. In fact, around the holidays I generally make double and triple batches around christmas",positive,book
2074,"This picks up exactly where the first one left off, in fact repeating the last page or so but from Becky's perspective.  I especially love the author's sense of humor, and the fun-loving way the characters interact.  It kinda takes me back to my college days, when we were all up in each others business, and giving each other hell over every little thing.  Just fun!",positive,book
4876,"As the book description describes, this is a collection of 6 novels that are part of a vampire series.  The first five books revolve around a group of vampires and their Chosen as well as a despicable branch of the CIA known as DPI.  We follow them through the trials and tribulations of love while being hunted by the DPI.  The final book that is part of this collection revolves around another vampire and his Chosen.Each of these stories were well-written and I found myself fully pulled into each story.  With the first story, I became involved with the characters and really grew to love them as the stories continued.  In the first five, each story built on the last one and I got to know each previous character more than before as well as be introduced to know characters.This box set is a highly-enjoyable read and I look forward to the reading the second set as soon as I can afford it.  For those who love vampire stories, this collection is a refreshing change from the plethora of vampire novels on the market.",positive,book
4884,This was a fun read for me. I stayed up most of the night to see what would happen.It held my interest and I have read all of the other books that have followed afterClassmate Murders. The characters become old friends after you have read a coupleof the books. I am looking forward to the next novel that will published in thisseries.,positive,book
2587,"I can't remember how I stumbled upon this book but I'm so glad I did! It was an interesting read and provided hours of entertainment via hanging on the edge of my seat! This book has a lot of action but it also has a great &#34;book worm&#34; factor with all of Abby's research. I really like how the author incorporated alot of truthful tidbits into the story, several of which I hadn't run across in the general knowlege base of Kennedy conspiracies. It wasn't a rehash and even though some of the action was a bit unbelivable and I had a hard time accepting some of the later characters like Rob and Demetrius, overall it was a very solid book with good strong lead characters. I think a few more sprinklings of &#34;the times&#34; would have made it more authentic- several of the later scenes in the college town felt too modern for me, seeing as how the story took place in the early 80s, but maybe that's just me! Pick it up- it's totally worth the $3!!",positive,book
10458,five good ald science fiction tales from the 40's and 50's.  I like the classic old puip fiction type of books ++ they are cheap!,positive,book
8520,"I really enjoyed this 2nd book of the Dragon Knight series. This picked up from where Maiden Flight ended and the transition was very well handled. The storyline of Belora's (Maiden Flight) mother, Adora finding love after she has been a widow for 10 years is wonderful particularly when the man she meets is also a widower who lost his family. The meddling of the dragons is cute and very astute.The only fault I found was the story of her lost twin daughters being told several times, yes, it did move the story forward but it could have been better condensed.The introduction of new characters was handled well and the enemy king and his plans was well thought out and a great plot twist.  Well done.... I'm on to the next book Ice Dragon - can't wait!",positive,book
2701,"The continuing saga of the Westmoreland clan was very enjoyable.Good quick reads with great positive (SEXY!!!) black men loving beautiful, smart, savvy  (SEXY!!!) black women.",positive,book
5855,I loved it thought it was very good. A nice well written book. I fell sorry for the man in the other rating not liking the book because of a misspelled word. You missed out on a good book.,positive,book
408,"From the ""Cascadia Wolves"" series. Preceded byStandoff. Followed byTrinity.Plot:Shane has always denied his werewolf heritage. He lives as a human and prefers it that way. Megan has embraced her ""otherness""; she is a werewolf and proud of it. When fate mates them, they need to find a way to deal with their differences, or live apart.Comments:- A reasonable length book (2650 kindle locations).- Preceding books followed a ""Werewolf Mafia"" story arc. It was wound up in ""Standoff"". ""Fated"" would standalone, the other books are not necessary for the enjoyment/understanding of this book. However, as characters from other books appear and play an integral role in ""Fated"", reading the books in sequence would be of benefit.- ""Fated"" begins 2 years after ""Standoff"".- Shane was Layla's anchor inReluctant. He has not appeared in other books. Megan is the last Warden sister of the Cascadia Wolves Pack to be mated and is Lex's Enforcer.- The earlier books in the series (other than ""Reluctant"") mixed the action/suspense of the Pellini arc with romance/wooing/angst of newly mated relationships. As the war no longer exists, ""Fated"" is all about the relationship. It is chock-full of emotion, angst, hope, heartbreak. And lots of sex. No violence, no shooting, no war.- Sex is m/f with a very HOT m/f/m encounter. Sex is all loving, generous.Opinion:Yes, I like this series of books. I think Dane brings originality as well as humour and love to the Shifter/paranormal genre. The sex is always HOT and the characters are always well-defined and interesting. The women are STRONG, physically, emotionally. They stand up for themselves and don't let anyone walk over them. The men (heroes) are Alpha, they want their women to be protected. But they always love and celebrate their strengths, differences and power. Shane, in ""Fated"", struggles with the differences, because he struggles with his own. But Megan knows who she is and what she wants and fights for it. Another fabulous book in the Cascadia series.",positive,book
9340,"I came into the book expecting it to be great, and I was surprised that it exceeded even my own inflated expectations. I've read many of Jules Verne's works, and I can sat that I was thoroughly amused the whole time I was reading this book. I've come to the realization that very few writers today even come close to the marvelous works that were wrought by hands such as Jules Verne. Would I recommend it? YES! If you enjoy a little bit of Sci-Fi, a lot of adventure, some laughs, and some good time well spent you'll love reading Jules Verne's &#34;The Mysterious Island&#34;.",positive,book
8596,"reading this book on my beloved kindle made me think.libraries have become community cultural centers. in a funny way, amy stewart has written a novel about how we will enjoy books in the future.it was a gem!",positive,book
8062,"I love Jules Verne. A man ahead of his time. This story is comparable to 20.000 leagues under the sea. Even if you ignore that fact that he  was way ahead of the time, his stories are always fun and a pleasure to read",positive,book
1083,Gage and Hailey are so sweet together I almost got a toothache reading their story!  Just a really cute story.  Loved all the characters.  Really really nice read.,positive,book
4224,"Neglected as a child and subjected to countless disappointments, Jessica Evans doesn't want to believe in either love or relationships.  Determined to keep true feeling at bay, Jessie uses m&eacute;nages with her best friend Clancy and other men as a safety net.  She can enjoy the dominance she craves in the bedroom, but on her own terms.  But Jessie's safety net is torn away from her when Wade Peterson asks her to marry her.  Though she turns Wade down, Jessie still can't get him out of her mind.  And if the struggle to tamp down on her feelings for Wade wasn't hard enough, Jessie's past soon resurfaces with additional complications that unsettle her hard won control.Wade is crushed when the woman he loves rejects his marriage proposal.  However, the sexy-as-sin cowboy isn't about to give up so easily.  He might be willing to share Jessie with Clancy to keep her, for now, but the desire to have Jessie only for himself soon becomes too much.  Will Wade be able to win Jessie's trust and show her that true love and happily ever afters can exist?Mackenzie McKade does it again!  Bound by the Past is an emotional, engaging, sensual read I could not put down.  Wade is meltingly sexy, patient, dominant, and loving - the epitome of the perfect hero.  In the hands of a lesser author I might have become frustrated with Jessie and her determination to stay distanced from Wade.  However, Ms. McKade made me understand Jessie's fears and sympathize with her.  I adored her and loved watching her grow into someone who was able to accept love and give it in return.  As for Clancy, Jessie's best friend and the third in the couple's threesomes, he has me crying out for his story.  He's kind but tormented, supportive of his friends but in need of someone to love him and help him overcome his own past.Bound by the Past is the second in the Ties That Bind series, but can be read as a stand alone.  There is a brief mention of the hero and heroine of the first book, Bound for the Holidays, but having not read that book (yet), I don't feel I missed anything for this particular tale.  I dearly hope Ms. McKade continues this series with books for Clancy and Wade's siblings.At turns tender and titillating, Bound by the Past is a book I Joyfully Recommend.  Ms. McKade delivers a fantastic, blazingly hot tale with characters that will capture your heart and a romance that is truly sigh worthy.Shaynareviewed for Joyfully Reviewed",positive,book
2140,"Not sure if I have read this author before but I liked it. Even though I gave this book 5 stars the story wasn't brilliant it was simple but a lovable little story between Holly and Carson. Now the sex was very steamily hot in his book. Holly met Carson during a one night stand and neither forgot about it, the book is basically Carson per suing Holly he wants a serious relationship but she doesn't. It's a quick short fun lovable read full of good hot sex.",positive,book
2151,"Bianca is a wonderful author, all of her books are wonderful and worth each and every penny spent on them!",positive,book
2210,"This love story is delightful.  Ryan and Mariah , a workaholic father and a genius child,  are living a life devoid of real happiness.  Ryan wants to secure Mariah' s future, by making a fortune and having Mariah' s intellect developed.  Being at work and not spending time with Mariah, causes her to look for a mother.  Chance brings Kelsey into the father and daughter's lives.  Bringing these three people together makes their story an enjoyable and interesting  read.  The author,  makes each character  realistic. This was quick read because I could not put the book down.  I hope everyone will enjoy this much as I did.  True romance will always win with me.",positive,book
7117,I like classic books I always have.  I am not quite through the series yet but I love them so far.  I know I am going to love the rest,positive,book
7656,Great reads and wonderful deal.  I enjoyed all of the stories. I am a true Brenda Jackson fan.  Everyone should read this series.,positive,book
6062,"I love Kallysten's stories and this one did not dissappoint. Everything was on point, cannot wait to read the rest of the series.",positive,book
1147,"As a writer  of both homoerotica and heteroerotica, I read this story with a critical eye and, to be honest, bought it to check out my competition!  What a pleasant surprise, to read such a well-written story.  True, there are a few spots where the editing could have been a bit better (at one point the main character is lying on his back, then all of a sudden he's on his front), but these small blemishes did not take away from the beautiful language of the piece and the clever plot (and twist at the end, which I won't spoil!).  Short but sweet, and very sexy (without being just about sex).  I'll be looking for more work by Ms. Strauss in the future.",positive,book
7537,"While some of these were familiar, there are several new tales here, which was my hope in ordering the book. I've been pleased with all the versions of familiar tales as well.",positive,book
4095,"Kallysten kept me involved throughout the book and I will definitely be looking for other books involving Bret and Lisa's Club &#34;On The Edge&#34; I enjoyed this initial meeting with the characters and hope to learn more about hem and the club.Bret and Lisa have been busy, opening a club, balancing their relationship and the fact that oh yeah she's a vampire who refuses to feed from him has helped keep things interesting. Leo might be exactly what they didn't know they needed but can Bret get past his jealousy issues to accept what Leo could possibly offer?Bret and Leo are both strong male characters and I loved the fact that Lisa can handle herself around them.  Of course being a Vampire helps, Leo is also a vampire and Lisa's former lover when he randomly shows up in Bret's club things get complicated the question is can Lisa handle this situation.I loved this story, although an incredibly short read it shows the depth I've come to expect from Kallysten! More proof of why I love her!",positive,book
8003,"Why would you not add a cook book to your Kindle??This book has more than just the basics, for example when you get a pizza recipe, you don't just get the standard oven pizza recipe, you also get explicit instructions and hints for making a grilled pizza.I am very pleasantly surprised by the number of illustrations that make this book even doubly helpful.I just made the Shepherd's Pie from this book last night and it was a huge hit.I made the cream scones for Sunday breakfast and they were heavenly.The really great thing is that you can bring this cook book with you and offer to make a meal as a weekend guest and all you have to do is throw in your Kindle not a big bulky book.",positive,book
1997,"Torn by Christina Brunkhorst is a wonderful romance with an interracial vibe. Ms. Brunkhorst provides the reader with a love story so real, you feel as though you are a part of the drama. The  key setting is in Montana, Big Sky country in all of its majesty.  I related to the small town feel after spending two summers in Missoula, Montana.  Her main character, Chelesa also spent a week in Montana and hence the beginning her a romance with her husband. They make a loving and beautiful family. I loved all of the characters. Ms. Brunkhorst invents them as if she were a supreme being molding and shaping them. Her rich vocabulary and smooth writing style draws in a reader who enjoys utilizing their critical and logical thinking skills. Torn touches all five senses. The love scene may leave you breathless and it did me. Jake, Chelsea's kind-hearted husband is almost a perfect human being. Tyler Benson is awesome in mind, body and soul. Ms. Brunkhorst's secondary characters are as important as the main characters because of their reactions to the events as the story unfolds. These incidents captivate and shake up situations, making the rising action so meaningful. I love the manner in which Ms. Burkhorst inserts drama on top of drama but with flair and lacking confusion and many surprises that touch everyone in Torn in a powerful way. Torn's great ending placed a smile on my face and an indelible mark on my heart. Ms. Burkhorst is a writer to watch and I am a new fan. In my honest opinion, Torn is a terrific book and worth the seven years it took Ms. Burkhorst to concoct such an entertaining, engrossing tale.Ms. Brunkhorst, thanks for making this week-end a peaceful, relaxing one with this book.",positive,book
11661,Great read!  Makes me want to head to Alaska :-)  The description of the men and passion is wonderful.....it's definately a suggested read.,positive,book
11079,Trust is a hard thing to earn but so easy to lose. This is a story of two very different beings who were both betrayed but learn to trust and love again in the arms of each other.,positive,book
8838,"Hunter and Jericho share a cabin high in the Rocky Mountains where they live between assignments.  United by their love for one woman and determined to carry on her cause the men are at a point in their lives where they're ready to make some changes - after all they can't bring back Rebeccah by killing themselves supporting her cause.  Neither would have guessed that they'd find a new reason to make their Rocky Mountain cabin a home courtesy of a beautiful creature who captures their attention.Kaya, a cougar shifter, has lived with very little human interaction but something draws her to Hunter and Jericho's cabin.  At first she only watches the men from a distance and enjoys their scent but injured and in need of a place to rest, she makes the decision to trust them and enters their home.  Despite her attraction to the men, Kaya isn't ready to trust them with her secret - but she's unable to resist the idea of a cooked meal and shifts once she believes the men are asleep for the night.Hunter and Jericho are confused about the young woman's appearance in their cabin.  What's she doing there wearing only Jericho's discarded shirt?  From her reaction to being discovered inhaling food it's obvious she's terrified and that only increases their curiosity about her.  When she bolts from the house they pursue her and bring her back - after all they can't leave a naked woman alone in the snow-covered mountains.Both men are attracted to Kaya and protecting her is a priority.  They've never encountered anyone like her before but aren't exactly ready to share another woman either.  How are they going to handle learning about her shifter abilities or the isolated life she's led?  There's a world of difference between them.  Can it be overcome?  And what happens when Hunter and Jericho get called out on an assignment and must leave Kaya behind?Maya Banks delivers yet another captivatingly emotional read that promises to stay in your memory long after you've finished reading the final page of AMBER EYES.  Hunter, Jericho and Kaya have deep-seated fears and issues which have dictated how they handle situations.  Trust doesn't come easy for any of them but with a lot of patience, understanding and love they all have the possibility of finding happiness together.  AMBER EYES is one of those stories that draws the reader into the plot, allows you to fall in love with the characters and warms your heart with each new revelation.  I smiled, worried, laughed, agonized and cried along with the characters and wanted nothing more than for them to all have a happily-ever-after. Ms. Banks has a `mystical' spin on shifters that really captures my interest and definitely has me eager to pick up any and all future books she writes.AMBER EYES is the sequel to GOLDEN EYES, which was released through another publisher so be sure to stop by Ms. Banks' website to discover the `rest of the story' or at least the rest of it so far.Chrissy Dionne (courtesy of Romance Junkies)",positive,book
1054,"Maya Banks is one of my favorite authors and Stay With Me does not disappoint.  This menage story begins with the trio already together and living their lives as a family.  Logan and Rhys are married to Catherine.  They are hard workers and devoted to their growing sucessfull business, but this is the reason that their wife Catherine is unhappy.  It seems the guys have been so single-minded in their pursuit of success that they have been neglecting poor Catherine.  On their anniversary she plans a romantic dinner at a restaurant so that she can tell them that she is pregant with their child.  They guys get caught up in a business problem and forget the dinner date.  They have to fly out to solve the problem and also cancel a planned Jamaican vacation with Catherine.  This is the last straw for Catherine and she heads to Jamaica without them.  When they discover that she isn't waiting for them at home, they realize just how much they have hurt her and fly to Jamaica to try to win her back.  This was a very romantic menage story.  The guys are hot and the reader realizes that they work hard for Catherine because the three began their lives together very humbly.  Catherine makes them realize that nothing is as important as their relationship together.  The changes they make to their workaholic lifestyles reveal the extent of their love for Catherine and results in a very touching, and sexy story.  Well done from Ms. Banks, as usual!",positive,book
1449,"I have noticed many romance titles featured in Scotland.  Was it the skirts on the men?  Bagpipes?  Haggis (no, no, no) this is the story that will transport you to another world with people who feel as we do.  I don't like to repeat the story but I will tell you that I had such a sense of satisfaction and happiness after reading this skillfully written tale.  High recommended.",positive,book
762,"Just finished this wonderful book.  I can relate to the shattering loss of a beloved only child who died too soon, who was becoming an adult. I've been there.  Donating a loved ones organs is the supreme gift of love for the survivors to give.  It is comforting for me to know that somewhere someone is seeing this beautiful world because my Kathi wanted her organs used.  You do not ever get over the life shattering loss for you heart will always bear a scar, but hopefully, the pain will ease with passage of time, and it will get better.  I would give the book six stars if I could!",positive,book
370,"I really enjoyed terrible entire story. I can only hope that I would act as intelligent and resourceful as these young people, if I were ever placed in the same circumstances",positive,book
4649,"I can't believe I didn't review this when I read it years ago.  I enjoyed this book even though it was sort of twisted.  If you don't mind that and you enjoy reading about insane murderers for the sheer absurdity of them, this book is for you.",positive,book
10518,Easy read and provided several very useful tipsWould recommend this book for purchase,positive,book
8907,"If you like to walk on the wild side of  Enjoyment with the others you will definitely enjoy the playfulness of the weres in her new book ""Inferno""...There are so many turns in this story andnew plots to encourage more stories...I can't wait to see what comes next!!!",positive,book
4744,I am not a real big fan of fairy tales but these fairy tales are always a very good read.,positive,book
2026,"Lissa decided to ignore her queer feelings about getting on the hotel shuttle.  She needed to find another position, and it was the only way to make it to the job conference.  What follows next is a near death experience that changes her life forever when a gorgeous vineyard owner rescues her.Atticus Maxwell is a vampire enforcer who's lived for centuries, yearning and hoping for the One to bring meaning to his life.  Meeting Lissa knocks him out of his ennui once he's awakened to an all encompassing love.  Could she be the One he's searched for?  Once it's learned that the accident was no accident, Atticus does everything in his power to ensure that Lissa stays alive long enough for them to explore all the possibilities.Most of the vampire novels I tend to steer towards are usually dark, violent, brutal and brimming with lurid sex (think JR Ward), which makes them not quite as emotionally romantic as One and Only.  This delightfully sweet paranormal romance carried an ""R in Romantic"" timeless vibe.  Sure the sex is sensual, at times even naughty, but the amiable warmth here is old school.  It's not in the bodice ripper class; there's definitely violin and piano music serenading reader heartstrings.Atticus is noble and honorable with that air of Byronic tragedy that makes him vulnerable without being a stuffy wimp.  When he opens his heart and life to the equally lonely and engaging Lissa, I was so glad they finally found one another.  There's a tender thread throughout that works well with themes of friendship, loyalty, and hope, as well as the continuing battle of good vs. evil.  All in all, I was left with a pleasant feeling, which means I'd like to see where this series goes.  Bianca D'Arc does well setting everything up for the next series installment, and I'm positive that she'll more than deliver on it.  If that doesn't convince you, take a look at the mesmerizing delectable cover.Patrice F.Reviewed for Joyfully Reviewed",positive,book
9481,"I enjoyed this read. Let me first say, if your picking this book at random to read then it might seem a bit confusing. If you haven't followed the series which includes 3 books prior then it would seem a bit rushed and confusing. This novella is a good read but not strong enough to stand on it's own. I think that's why so many reviewers are disappointed with the read.Jena's best friends in past books have all met and married their true mate. At one of their weddings she happens to meet Ian. Though they briefly spoke and shared a dance, she is unable to stop thinking about Ian who is a vampire. Ian has been watching Jena for months. He is known as the enforcer, although Jena is aware that her friends married vampires Ian is sent to keep an eye on Jena watching to see if she would tell of their existence.On Valentines day everything has come full circle for both Ian and Jena as they both discover they are each others true mate. They also discovery something important about Jena's blood.",positive,book
131,"This book has to be one of my top 10 favorites. I love the Character of Hunt Jamison; he was brutal, brazen, and honest to fault. He spoke what was on mind and found myself smiling and liking it. I felt bad for him at times because like Hunt I have a scar on my face from a car accident and I was embarrassed by it and sometime I'm still am, so I related to the character so much. I loved Lila character as well she tried her best not to fall for him while trying to keep her dignity. I like that the ""Write"" didn't make them fall in love so quick and like I said the honesty of Hunter and plain-spokenness is so needed in others writers' characters. I love the book and it was worth it. I read it in one night.My top 10 favorites1. Mistress to the Beast2. Her Russian Billionaire3. Fling in Paris4. Kidnapped by a Greek Billionaire5. Maid for a Billionaire6. Delaney's Desert Sheikh7. Weekend required8. Beauty and the Sheikh9. The Doctor's Secret Bride10. Blacking the Billionaire",positive,book
3728,As Quinn McKay find himself in the verge of loosing his wife for his stubbornness he is forced to reevaluate his life and his relationship. But it is Libby herself who lets him know that a woman has needs other than a good house and a steady income.When Quinn and Libby go back to basics it is here where they remember why they decided to get married and spend the rest of their lives together. Because they are explosive together and each have what the other needs.I like how in this story we get shown that no matter how long you know a person there is always something new to explore even if it's something old...,positive,book
